Region,Constituency,Registered_Voters,Votes_Cast,Candidate,Party,Votes_Received,Rank
Karnataka,KAR-01,126905,77278,Candidate A-01,Party A,33498,1
Karnataka,KAR-01,126905,77278,Candidate C-01,Party C,22206,2
Karnataka,KAR-01,126905,77278,Candidate B-01,Party B,21574,3
Karnataka,KAR-02,94144,72630,Candidate A-02,Party A,30635,1
Karnataka,KAR-02,94144,72630,Candidate B-02,Party B,27799,2
Karnataka,KAR-02,94144,72630,Candidate C-02,Party C,14196,3
Karnataka,KAR-03,90697,66528,Candidate C-03,Party C,29226,1
Karnataka,KAR-03,90697,66528,Candidate A-03,Party A,20338,2
Karnataka,KAR-03,90697,66528,Candidate B-03,Party B,16964,3
Karnataka,KAR-04,100247,71314,Candidate C-04,Party C,30196,1
Karnataka,KAR-04,100247,71314,Candidate A-04,Party A,21734,2
Karnataka,KAR-04,100247,71314,Candidate B-04,Party B,19384,3
Karnataka,KAR-05,127590,97267,Candidate A-05,Party A,36525,1
Karnataka,KAR-05,127590,97267,Candidate C-05,Party C,30408,2
Karnataka,KAR-05,127590,97267,Candidate B-05,Party B,30334,3
Karnataka,KAR-06,103231,81599,Candidate B-06,Party B,30104,1
Karnataka,KAR-06,103231,81599,Candidate C-06,Party C,26920,2
Karnataka,KAR-06,103231,81599,Candidate A-06,Party A,24575,3
Kerala,KER-01,130753,90203,Candidate C-01,Party C,33875,1
Kerala,KER-01,130753,90203,Candidate A-01,Party A,31572,2
Kerala,KER-01,130753,90203,Candidate B-01,Party B,24756,3
Kerala,KER-02,135036,90138,Candidate C-02,Party C,38565,1
Kerala,KER-02,135036,90138,Candidate A-02,Party A,28546,2
Kerala,KER-02,135036,90138,Candidate B-02,Party B,23027,3
Kerala,KER-03,140541,94082,Candidate C-03,Party C,38145,1
Kerala,KER-03,140541,94082,Candidate A-03,Party A,32704,2
Kerala,KER-03,140541,94082,Candidate B-03,Party B,23233,3
Kerala,KER-04,115108,82810,Candidate A-04,Party A,39348,1
Kerala,KER-04,115108,82810,Candidate B-04,Party B,24889,2
Kerala,KER-04,115108,82810,Candidate C-04,Party C,18573,3
Kerala,KER-05,121178,79520,Candidate A-05,Party A,32854,1
Kerala,KER-05,121178,79520,Candidate B-05,Party B,30350,2
Kerala,KER-05,121178,79520,Candidate C-05,Party C,16316,3
Kerala,KER-06,108700,79363,Candidate A-06,Party A,33873,1
Kerala,KER-06,108700,79363,Candidate C-06,Party C,25861,2
Kerala,KER-06,108700,79363,Candidate B-06,Party B,19629,3
Tamil Nadu,TAM-01,99935,78049,Candidate A-01,Party A,37255,1
Tamil Nadu,TAM-01,99935,78049,Candidate B-01,Party B,29412,2
Tamil Nadu,TAM-01,99935,78049,Candidate C-01,Party C,11382,3
Tamil Nadu,TAM-02,141785,85958,Candidate A-02,Party A,30088,1
Tamil Nadu,TAM-02,141785,85958,Candidate B-02,Party B,29372,2
Tamil Nadu,TAM-02,141785,85958,Candidate C-02,Party C,26498,3
Tamil Nadu,TAM-03,108909,67772,Candidate A-03,Party A,24665,1
Tamil Nadu,TAM-03,108909,67772,Candidate B-03,Party B,23532,2
Tamil Nadu,TAM-03,108909,67772,Candidate C-03,Party C,19575,3
Tamil Nadu,TAM-04,130994,107877,Candidate A-04,Party A,44946,1
Tamil Nadu,TAM-04,130994,107877,Candidate B-04,Party B,36404,2
Tamil Nadu,TAM-04,130994,107877,Candidate C-04,Party C,26527,3
Tamil Nadu,TAM-05,96215,69166,Candidate A-05,Party A,23797,1
Tamil Nadu,TAM-05,96215,69166,Candidate C-05,Party C,23654,2
Tamil Nadu,TAM-05,96215,69166,Candidate B-05,Party B,21715,3
Tamil Nadu,TAM-06,102691,85980,Candidate A-06,Party A,35698,1
Tamil Nadu,TAM-06,102691,85980,Candidate B-06,Party B,28297,2
Tamil Nadu,TAM-06,102691,85980,Candidate C-06,Party C,21985,3
Telangana,TEL-01,129866,86271,Candidate A-01,Party A,37812,1
Telangana,TEL-01,129866,86271,Candidate C-01,Party C,26982,2
Telangana,TEL-01,129866,86271,Candidate B-01,Party B,21477,3
Telangana,TEL-02,138857,81695,Candidate C-02,Party C,29442,1
Telangana,TEL-02,138857,81695,Candidate A-02,Party A,29147,2
Telangana,TEL-02,138857,81695,Candidate B-02,Party B,23106,3
Telangana,TEL-03,98826,80781,Candidate A-03,Party A,32481,1
Telangana,TEL-03,98826,80781,Candidate B-03,Party B,28666,2
Telangana,TEL-03,98826,80781,Candidate C-03,Party C,19634,3
Telangana,TEL-04,98934,74241,Candidate B-04,Party B,28681,1
Telangana,TEL-04,98934,74241,Candidate A-04,Party A,27559,2
Telangana,TEL-04,98934,74241,Candidate C-04,Party C,18001,3
Telangana,TEL-05,115071,71015,Candidate B-05,Party B,25508,1
Telangana,TEL-05,115071,71015,Candidate A-05,Party A,23089,2
Telangana,TEL-05,115071,71015,Candidate C-05,Party C,22418,3
Telangana,TEL-06,120322,78006,Candidate A-06,Party A,31610,1
Telangana,TEL-06,120322,78006,Candidate B-06,Party B,29927,2
Telangana,TEL-06,120322,78006,Candidate C-06,Party C,16469,3
Maharashtra,MAH-01,111175,74945,Candidate A-01,Party A,35937,1
Maharashtra,MAH-01,111175,74945,Candidate B-01,Party B,19645,2
Maharashtra,MAH-01,111175,74945,Candidate C-01,Party C,19363,3
Maharashtra,MAH-02,117343,70832,Candidate C-02,Party C,30740,1
Maharashtra,MAH-02,117343,70832,Candidate A-02,Party A,21850,2
Maharashtra,MAH-02,117343,70832,Candidate B-02,Party B,18242,3
Maharashtra,MAH-03,126120,78395,Candidate A-03,Party A,33120,1
